,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,all_reach_2006,all_reach_2007,all_reach_2008,all_reach_2009,all_reach_2010,all_reach_2011,all_reach_2012,all_reach_2013,all_reach_2014,all_reach_2015,all_reach_2016,t1_cc_reach_2006,t1_cc_reach_2007,t1_cc_reach_2008,t1_cc_reach_2009,t1_cc_reach_2010,t1_cc_reach_2011,t1_cc_reach_2012,t1_cc_reach_2013,t1_cc_reach_2014,t1_cc_reach_2015,t1_cc_reach_2016
52,1131297654.0,1132335003.0,1241537112.0,1416334399.0,1617042015.0,1909798703.0,1974308135.0,1960690790.0,1984542198.0,2140306683.0,2254415506.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
53,1131297654.0,1132335003.0,1241537112.0,1416339001.0,1617042269.0,1909815071.0,1974329883.0,1960709456.0,1984558282.0,2140328423.0,2254466842.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
54,1131297654.0,1132335003.0,1241537112.0,1416343349.0,1617042523.0,1909829397.0,1974350605.0,1960727612.0,1984570808.0,2140349911.0,2254514182.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
55,1131297654.0,1132335003.0,1241537112.0,1416346671.0,1617042777.0,1909842701.0,1974371079.0,1960744502.0,1984583092.0,2140369355.0,2254551282.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
56,1131297654.0,1132335003.0,1241537112.0,1416349227.0,1617043031.0,1909852929.0,1974390493.0,1960761132.0,1984594862.0,2140387975.0,2254588110.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
57,1131297654.0,1132335003.0,1241537112.0,1416351513.0,1617043031.0,1909861373.0,1974408171.0,1960777514.0,1984604074.0,2140404603.0,2254621876.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
58,1131297654.0,1132335003.0,1241537112.0,1416352277.0,1617043031.0,1909869559.0,1974422501.0,1960792564.0,1984611994.0,2140417655.0,2254654620.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
59,1131297654.0,1132335003.0,1241537112.0,1416352531.0,1617043031.0,1909876709.0,1974435545.0,1960807372.0,1984617102.0,2140430443.0,2254686240.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
60,1131297654.0,1132335003.0,1241537112.0,1416352785.0,1617043031.0,1909883355.0,1974447311.0,1960819876.0,1984621430.0,2140442437.0,2254706460.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
61,1131297654.0,1132335003.0,1241537112.0,1416353039.0,1617043031.0,1909889713.0,1974458571.0,1960832158.0,1984625522.0,2140453117.0,2254726638.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
